GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic,PetclinicApplication,5,3,0,0,2,1,1,1,1,1
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic,PetclinicInitializer,12,0,0,0,2,0,2,0,2,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.configuration,SwaggerConfig,0,59,0,0,0,11,0,4,0,4
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.configuration,SpaWebFilter,14,0,0,0,4,0,2,0,2,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.configuration,WebConfig,8,0,0,0,3,0,2,0,2,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.configuration,GenericIdToEntityConverter,54,34,10,0,11,7,7,3,2,3
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.configuration,SecurityConfiguration,0,227,0,0,0,27,0,7,0,7
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.configuration,ExceptionHandlerConfiguration,19,0,0,0,5,0,2,0,2,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.model,NamedEntity,3,10,0,0,1,4,1,3,1,3
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.model,BaseEntity,11,6,2,0,3,2,3,2,2,2
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
PetClinic - TFG - Rafael Sanabria Espárrago,petclinic.payload.response,MessageResponse,13,0,0,0,5,0,3,0,3,0
PetClinic - TFG - Rafael Sanabria Espárrago,petclinic.payload.response,JwtResponse,65,0,0,0,13,0,12,0,12,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.exceptions,ResourceNotFoundException,21,32,0,0,8,7,6,2,6,2
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.exceptions,ExceptionHandlerController,161,3,0,0,24,1,8,1,8,1
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.exceptions,ResourceNotOwnedException,26,0,0,0,9,0,5,0,5,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.exceptions,LimitReachedException,43,0,0,0,14,0,7,0,7,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.exceptions,ErrorMessage,27,0,0,0,10,0,5,0,5,0
PetClinic - TFG - Rafael Sanabria Espárrago,org.springframework.samples.petclinic.exceptions,TokenRefreshException,15,0,0,0,2,0,1,0,1,0
